season,week,team,avg_start_yardline_100_faced,avg_start_yardline_100_off,def_adj_speed,def_drives_tracked,def_epa_drive_h1,def_epa_drive_h2,def_epa_per_play_allowed,def_median_epa_allowed,drive_momentum_3plus,drives__drives_def,drives__drives_off,drives__fg_rate_def,drives__fg_rate_off,drives__hidden_yards_per_drive_def,drives__hidden_yards_per_drive_off,drives__plays_per_drive_def,drives__plays_per_drive_off,drives__ppd_basic_def,drives__ppd_basic_off,drives__ppd_points_def,drives__ppd_points_off,drives__punt_rate_def,drives__punt_rate_off,drives__redzone_drive_rate_def,drives__redzone_drive_rate_off,drives__score_rate_def,drives__score_rate_off,drives__start_own_yardline_avg_def,drives__start_own_yardline_avg_off,drives__start_yardline_100_avg_def,drives__start_yardline_100_avg_off,drives__td_rate_def,drives__td_rate_off,drives__turnover_rate_def,drives__turnover_rate_off,drives__yds_per_drive_def,drives__yds_per_drive_off,drives_total,drives_with_3plus,early_down_epa_allowed,early_down_epa_off,exp_to_succ_balance,explosive_plays_allowed,explosive_plays_off,explosive_rate,explosive_rate_allowed,explosive_rate_off,field_flip_eff,field_pos_advantage,fourth_down_sr_allowed,fourth_down_sr_off,game_rhythm_q4,late_down_epa_allowed,late_down_epa_off,neg_epa_recovery_rate,neg_events_tracked,net_early_down_epa,net_epa,net_explosive_rate,net_fourth_down_sr,net_late_down_epa,net_red_zone_epa,net_third_down_sr,neutral_pass_rate,neutral_plays,off_epa_per_play,off_median_epa,off_pens_tracked,pass_epa_per_play_allowed,pass_epa_per_play_off,pass_rush_delta_off,pen_3rd_kill_rate,pen_rz_off_pen_rate,pen_timing_index,play_call_entropy_neutral,plays_def,plays_off,plays_tracked,punts_tracked,qb_dropbacks,qb_volatility_std,rank_net_epa,red_zone_epa_allowed,red_zone_epa_off,run_sustainability_rate,rush_epa_per_play_allowed,rush_epa_per_play_off,rushes_tracked_ybc,rz_denial_rate_def,rz_fg_def,rz_td_def,rz_trips_def,success_rate,success_rate_allowed,success_rate_off,third_down_avg_ytg,third_down_plays,third_down_sr_allowed,third_down_sr_off,total_yards_off,turnover_epa_forced,turnover_epa_net,turnover_epa_off,twomin_epa_play,twomin_plays,twomin_success_rate,yards_allowed
2025,1,GB,,,,,,,,,,11.0,10.0,0.18,0.2,12.19,12.19,7.55,6.1,1.18,2.7,1.18,2.7,0.27,0.3,0.45,0.5,0.27,0.5,29.91,42.1,70.09,57.9,0.09,0.3,0.09,0.0,22.36,26.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025,2,GB,,,,,,,,,,24.0,23.0,0.13,0.18,0.56,0.56,7.08,6.36,1.24,2.39,1.24,2.39,0.29,0.3,0.34,0.4,0.25,0.44,37.3,37.86,62.7,62.14,0.12,0.27,0.05,0.0,20.1,28.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025,3,GB,,,,,,,,,,36.0,38.0,0.14,0.14,-0.71,-0.71,6.94,6.08,1.19,1.81,1.19,1.81,0.36,0.31,0.28,0.31,0.25,0.34,36.99,36.28,63.01,63.72,0.11,0.2,0.06,0.02,19.54,24.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025,4,GB,,,,,,,,,,50.0,57.0,0.12,0.13,0.18,0.18,6.81,5.94,1.57,1.9,1.57,1.9,0.34,0.26,0.36,0.35,0.3,0.35,37.11,37.29,62.89,62.71,0.17,0.22,0.04,0.04,22.44,24.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025,5,GB,,,,,,,,,,50.0,57.0,0.12,0.13,0.18,0.18,6.81,5.94,1.57,1.9,1.57,1.9,0.34,0.26,0.36,0.35,0.3,0.35,37.11,37.29,62.89,62.71,0.17,0.22,0.04,0.04,22.44,24.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025,6,GB,,,,,,,,,,79.0,81.0,0.13,0.14,-2.13,-2.13,6.48,6.03,1.51,2.02,1.51,2.02,0.29,0.24,0.35,0.36,0.29,0.37,40.31,38.18,59.69,61.82,0.16,0.23,0.05,0.04,21.84,26.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
