season,week,team,avg_start_yardline_100_faced,avg_start_yardline_100_off,def_adj_speed,def_drives_tracked,def_epa_drive_h1,def_epa_drive_h2,def_epa_per_play_allowed,def_median_epa_allowed,drive_momentum_3plus,drives__drives_def,drives__drives_off,drives__fg_rate_def,drives__fg_rate_off,drives__hidden_yards_per_drive_def,drives__hidden_yards_per_drive_off,drives__plays_per_drive_def,drives__plays_per_drive_off,drives__ppd_basic_def,drives__ppd_basic_off,drives__ppd_points_def,drives__ppd_points_off,drives__punt_rate_def,drives__punt_rate_off,drives__redzone_drive_rate_def,drives__redzone_drive_rate_off,drives__score_rate_def,drives__score_rate_off,drives__start_own_yardline_avg_def,drives__start_own_yardline_avg_off,drives__start_yardline_100_avg_def,drives__start_yardline_100_avg_off,drives__td_rate_def,drives__td_rate_off,drives__turnover_rate_def,drives__turnover_rate_off,drives__yds_per_drive_def,drives__yds_per_drive_off,drives_total,drives_with_3plus,early_down_epa_allowed,early_down_epa_off,exp_to_succ_balance,explosive_plays_allowed,explosive_plays_off,explosive_rate,explosive_rate_allowed,explosive_rate_off,field_flip_eff,field_pos_advantage,fourth_down_sr_allowed,fourth_down_sr_off,game_rhythm_q4,late_down_epa_allowed,late_down_epa_off,neg_epa_recovery_rate,neg_events_tracked,net_early_down_epa,net_epa,net_explosive_rate,net_fourth_down_sr,net_late_down_epa,net_red_zone_epa,net_third_down_sr,neutral_pass_rate,neutral_plays,off_epa_per_play,off_median_epa,off_pens_tracked,pass_epa_per_play_allowed,pass_epa_per_play_off,pass_rush_delta_off,pen_3rd_kill_rate,pen_rz_off_pen_rate,pen_timing_index,play_call_entropy_neutral,plays_def,plays_off,plays_tracked,punts_tracked,qb_dropbacks,qb_volatility_std,rank_net_epa,red_zone_epa_allowed,red_zone_epa_off,run_sustainability_rate,rush_epa_per_play_allowed,rush_epa_per_play_off,rushes_tracked_ybc,rz_denial_rate_def,rz_fg_def,rz_td_def,rz_trips_def,success_rate,success_rate_allowed,success_rate_off,third_down_avg_ytg,third_down_plays,third_down_sr_allowed,third_down_sr_off,total_yards_off,turnover_epa_forced,turnover_epa_net,turnover_epa_off,twomin_epa_play,twomin_plays,twomin_success_rate,yards_allowed
2025,1,TEN,,,,,,,,,,18.0,15.0,0.11,0.27,1.89,1.89,5.17,5.13,1.11,0.8,1.11,0.8,0.17,0.53,0.22,0.13,0.22,0.27,39.11,41.0,60.89,59.0,0.11,0.0,0.17,0.13,17.61,8.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025,2,TEN,,,,,,,,,,35.0,29.0,0.11,0.28,-7.08,-7.08,4.91,5.71,1.56,1.08,1.56,1.08,0.17,0.45,0.41,0.17,0.29,0.31,45.79,38.71,54.21,61.29,0.17,0.04,0.11,0.1,21.72,13.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025,3,TEN,,,,,,,,,,47.0,39.0,0.13,0.25,-10.88,-10.88,5.27,6.74,1.98,1.62,1.98,1.62,0.14,0.33,0.46,0.18,0.36,0.37,47.39,36.51,52.61,63.49,0.23,0.12,0.08,0.1,24.62,18.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025,4,TEN,,,,,,,,,,58.0,51.0,0.14,0.19,-11.42,-11.42,5.82,6.39,2.1,1.21,2.1,1.21,0.17,0.35,0.42,0.14,0.38,0.28,45.7,34.28,54.3,65.72,0.24,0.09,0.06,0.1,26.49,17.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025,5,TEN,,,,,,,,,,75.0,67.0,0.12,0.19,-7.94,-7.94,5.69,6.14,1.93,1.26,1.93,1.26,0.22,0.34,0.39,0.18,0.34,0.29,43.3,35.36,56.7,64.64,0.23,0.1,0.06,0.1,25.42,18.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025,6,TEN,,,,,,,,,,102.0,90.0,0.11,0.17,-9.12,-9.12,5.78,6.17,1.85,1.29,1.85,1.29,0.24,0.34,0.39,0.17,0.33,0.28,42.87,33.75,57.13,66.25,0.22,0.11,0.06,0.15,24.92,18.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
